S/N,Month,Terminal ID,Terminal Serial,Business Name,Payment Value,Payment Volume,Transfer Value,Transfer Volume,"Target PaymentValue",Target Met,"Days Since LastTransaction",Business Registration Date,Terminal Assignment Date,Last Transaction Date
135,May,2057AAEH,P260300234143,Voices Telecom 2,"617,600.00",16,"4,643,950.00",7,"20,000.00",TRUE,0,,,
136,May,2070I9UC,P260301347010,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANYORITAMEFA LPG","610,235.00",81,0,0,"20,000.00",TRUE,0,,,
137,May,2070K2RI,P260300792745,RUKKYEXPLICIT,"601,600.00",5,0,0,"20,000.00",TRUE,0,,,
138,May,2070YV0E,P260301560114,FOODCO NIG ARULOGUN 2,"597,990.70",138,0,0,"20,000.00",TRUE,0,,,
139,May,2057DZNF,P260300352669,Multrix Multi Services Limited,"597,600.00",35,"632,750.00",15,"20,000.00",TRUE,0,,,
140,May,2070XZ50,P260301216655,AOT CONSULTANT 3,"595,200.00",6,"594,635.00",3,"20,000.00",TRUE,0,,,
141,May,2033NVQ2,P260301039331,Markosh Technologies,"594,250.00",9,0,0,"20,000.00",TRUE,0,,,
142,May,2070659B,P260300433835,Allateef,"579,000.00",46,"478,100.00",23,"20,000.00",TRUE,0,,,
143,May,2033CLAW,P260301651846,A4 Nigeria Enterprises 2,"574,520.00",29,"578,100.00",8,"20,000.00",TRUE,0,,,
144,May,2070I9WA,P260300700703,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY DUGBELPG","573,579.00",47,0,0,"20,000.00",TRUE,0,,,
145,May,2033QOJR,P260300238009,"Akanbi lukman olalekan NigeriaEnterprises - Akanbi lukmanolalekan Nigeria","572,900.00",20,"2,183,600.00",12,"20,000.00",TRUE,0,,,
146,May,2057YPDA,P260301165945,Dang Lifestyle ltd,"567,543.22",20,0,0,"20,000.00",TRUE,0,,,
147,May,2070N123,P260301347828,Ali Time Venture,"560,600.00",36,"686,000.00",20,"20,000.00",TRUE,0,,,
148,May,2070RM7D,P260300992804,AY Maizabura 2,"558,100.00",21,"556,100.00",24,"20,000.00",TRUE,0,,,
149,May,2070J3PW,P260301216640,"Tamberma Restaurant IyagankuGRA","555,226.73",21,0,0,"20,000.00",TRUE,0,,,
150,May,207011CJ,P260300022855,OMA Global concept & services,"548,700.00",47,"445,100.00",13,"20,000.00",TRUE,0,,,
151,May,2070YI0Y,P260300992810,FOODCO NIG AKOBO 4,"542,600.00",150,0,0,"20,000.00",TRUE,0,,,
152,May,2057XDDH,P260301091807,SheAdvance Solutions,"535,300.00",27,0,0,"20,000.00",TRUE,0,,,
153,May,2070906J,P260300351755,"JoyYieldSeed Telecom -JoyYieldSeed Telecom","527,100.00",38,"767,600.00",15,"20,000.00",TRUE,0,,,
154,May,2057VHGY,P260300806320,SkOloye Enterprises,"526,530.00",76,"966,620.00",27,"20,000.00",TRUE,0,,,
155,May,20701VHG,P260301164479,"Mosh Golden ProfilePharmaceutical limited - Moshiletuntun 2","518,830.00",62,0,0,"20,000.00",TRUE,0,,,
156,May,2057IIPX,P260301219086,Cascade Lounge Iseyin,"517,800.00",37,0,0,"20,000.00",TRUE,0,,,
157,May,207001IF,P260301345854,ISP Multiconcepts,"509,800.00",176,0,0,"20,000.00",TRUE,0,,,
158,May,2070XH4V,P260301205943,"Mosh Golden ProfilePharmaceutical limited - MoshPharmacy and Supermarket","507,450.00",110,0,0,"20,000.00",TRUE,0,,,
159,May,2057XGTH,P260301086240,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANYIJESATEDO","506,489.00",15,0,0,"20,000.00",TRUE,0,,,
160,May,2070C199,P260300127234,Kenny venture,"504,425.75",36,"870,135.00",23,"20,000.00",TRUE,0,,,
161,May,2070YI0T,P260300973771,FOODCO NIG ABEOKUTA 4,"497,065.00",51,0,0,"20,000.00",TRUE,0,,,
162,May,2057UFHX,P260300125824,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANYOSOGBO 3","492,979.00",8,0,0,"20,000.00",TRUE,0,,,
163,May,2070ZA0F,P260300973779,FOODCO NIG IDI ABA 2,"485,763.00",126,0,0,"20,000.00",TRUE,0,,,
164,May,20575BGE,P260300445156,"Chefkabs Xpress - ChefkabsXpress","483,550.00",77,0,0,"20,000.00",TRUE,0,,,
165,May,20338GUA,P260301165054,IBironke Trading,"482,700.00",22,"528,000.00",6,"20,000.00",TRUE,0,,,
166,May,2070YZ5T,P260301122803,Modupeoluwa,"481,350.00",64,"201,000.00",9,"20,000.00",TRUE,0,,,
167,May,2070BNEC,P260301652778,Mr Wisdom 2,"476,800.00",85,"140,500.00",9,"20,000.00",TRUE,0,,,
168,May,2070ZC0F,P260301345852,FOODCO NIG AKALA 1,"461,921.20",88,0,0,"20,000.00",TRUE,0,,,
169,May,2057USNV,P260301575666,Ogb limited,"455,751.00",71,0,0,"20,000.00",TRUE,0,,,
170,May,207070WJ,P260300458171,Finrel Olorunsogo,"445,160.00",68,0,0,"20,000.00",TRUE,0,,,
171,May,2070ANRN,P260301222507,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY OWO","441,670.00",15,0,0,"20,000.00",TRUE,0,,,
172,May,2070YW0P,P260301821544,FOODCO NIG MONATAN 4,"439,965.00",126,0,0,"20,000.00",TRUE,0,,,
173,May,20707XKS,P260300792747,EdenPlus Pharmacy,"438,605.00",54,0,0,"20,000.00",TRUE,0,,,
174,May,2070ASOI,P260301222509,"BOVAS & COMPANY LIMITED -BOVAS AND COMPANY AKOBO2","435,360.60",14,0,0,"20,000.00",TRUE,0,,,
175,May,2070L1XE,P260301492427,"Upviews Pharmacy and StoreOlorunda","434,620.00",118,0,0,"20,000.00",TRUE,0,,,
176,May,20335SW3,P260300600975,Maracana,"433,710.00",41,0,0,"20,000.00",TRUE,0,,,
177,May,2070O3NL,P260300746745,FOOCO NIG IKOYI 5,"416,270.00",129,0,0,"20,000.00",TRUE,0,,,
178,May,2070YC0O,P260300992811,FOODCO NIG AKALA 3,"415,044.00",86,0,0,"20,000.00",TRUE,0,,,
